comp,func,id
ic motor,convert chemical,169
ic motor,convert chemical,169
ic motor,convert chemical,169
ic motor,convert chemical,169
wheel,convert control,169
pulley,convert human energy,169
ic motor,convert liquid-gas,169
blade,couple solid,169
nut-bolt,couple solid,169
mixer,couple solid,169
clamp,couple solid,169
guiders,couple solid,169
housing,couple solid,169
ic motor,couple solid,169
output acoustic energy,couple solid,169
tube,couple solid,169
container,couple solid,169
handle,couple solid,169
hinge,couple solid,169
pulley,couple solid,169
output acoustic energy,export auditory,169
output acoustic energy,export gas,169
wheel,export human energy,169
guiders,export solid,169
guiders,export visual,169
wheel,export visual,169
material filter,extract solid-gas,169
guiders,guide solid,169
housing,guide solid,169
handle,guide solid,169
lever,guide solid,169
wheel,guide solid,169
container,import chemical,169
handle,import control,169
lever,import control,169
handle,import human energy,169
container,import liquid,169
blade,import solid,169
material filter,import solid-gas,169
mixer,mix chemical,169
mixer,mix gas,169
mixer,mix liquid,169
blade,remove solid,169
material filter,secure solid,169
mixer,secure solid,169
ic motor,secure solid,169
lever,secure solid,169
link,secure solid,169
container,store chemical,169
container,store liquid,169
tube,transfer chemical,169
housing,transfer control,169
link,transfer control,169
housing,transfer human energy,169
blade,transfer solid,169
electric switch,actuate control,357
electric switch,actuate electrical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
electric motor,convert electrical,357
electric switch,convert human energy,357
electric switch,convert human energy,357
cover,convert human material,357
electric wire,couple solid,357
electric wire,couple solid,357
clamp,couple solid,357
screw,couple solid,357
support,couple solid,357
housing,couple solid,357
housing,couple solid,357
housing,couple solid,357
electric motor,couple solid,357
electric wire,couple solid,357
housing,couple solid,357
screw,couple solid,357
screw,couple solid,357
shaft,couple solid,357
electric wire,couple solid,357
electric switch,couple solid,357
washer,couple solid,357
electric wire,couple solid,357
electric switch,export human material,357
electric switch,export human material,357
positioner,guide solid,357
positioner,guide solid,357
positioner,guide solid,357
housing,guide solid,357
support,guide solid,357
cover,guide solid,357
gear,guide solid,357
gear,guide solid,357
housing,guide solid,357
cover,guide solid,357
cover,guide solid,357
link,guide solid,357
gear,guide solid,357
electric switch,guide solid,357
electric motor,guide solid,357
gear,guide solid,357
gear,guide solid,357
gear,guide solid,357
gear,guide solid,357
gear,guide solid,357
shaft,guide solid,357
housing,guide solid,357
spring,guide solid,357
housing,guide solid,357
washer,guide solid,357
electric switch,import human material,357
housing,import human material,357
electric switch,import human material,357
positioner,position solid,357
battery,position solid,357
electric wire,position solid,357
electric wire,position solid,357
cap,position solid,357
guiders,position solid,357
clamp,position solid,357
housing,position solid,357
support,position solid,357
cover,position solid,357
gear,position solid,357
housing,position solid,357
cover,position solid,357
cover,position solid,357
link,position solid,357
electric switch,position solid,357
gear,position solid,357
gear,position solid,357
shaft,position solid,357
spring,position solid,357
housing,position solid,357
gear,regulate control,357
electric switch,regulate control,357
electric switch,regulate electrical,357
gear,regulate mechanical,357
system,secure electrical,357
system,secure human energy,357
system,secure human material,357
system,secure rotational,357
electric wire,secure solid,357
electric wire,secure solid,357
cap,secure solid,357
blade,secure solid,357
clamp,secure solid,357
system,secure solid,357
housing,secure solid,357
electric motor,secure solid,357
housing,secure solid,357
electric switch,secure solid,357
battery,store electrical,357
battery,supply electrical,357
guiders,transfer control,357
support,transfer control,357
link,transfer control,357
gear,transfer control,357
spring,transfer control,357
housing,transfer control,357
battery,transfer electrical,357
electric wire,transfer electrical,357
electric wire,transfer electrical,357
electric wire,transfer electrical,357
electric wire,transfer electrical,357
electric motor,transfer electrical,357
electric wire,transfer electrical,357
electric switch,transfer electrical,357
electric wire,transfer electrical,357
blade,transfer mechanical,357
clamp,transfer mechanical,357
gear,transfer mechanical,357
gear,transfer mechanical,357
gear,transfer mechanical,357
gear,transfer mechanical,357
gear,transfer mechanical,357
electric switch,actuate electrical,359
electric motor,change electrical,359
gear,change mechanical,359
gear,change mechanical,359
electric motor,convert electrical,359
cover,couple solid,359
support,couple solid,359
support,couple solid,359
gear,couple solid,359
electric motor,couple solid,359
support,couple solid,359
electric wire,couple solid,359
electric switch,couple solid,359
screw,couple solid,359
screw,couple solid,359
screw,couple solid,359
screw,couple solid,359
screw,couple solid,359
electric wire,couple solid,359
support,couple solid,359
housing,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
gear,guide mechanical,359
support,guide solid,359
gear,guide solid,359
gear,guide solid,359
blade,guide solid,359
electric wire,import electrical,359
system,mix solid,359
system,mix solid-liquid,359
cover,position solid,359
support,position solid,359
support,position solid,359
gear,position solid,359
gear,position solid,359
support,position solid,359
electric wire,position solid,359
support,position solid,359
housing,position solid,359
electric switch,regulate control,359
electric switch,regulate electrical,359
support,secure solid,359
gear,secure solid,359
gear,secure solid,359
blade,secure solid,359
electric switch,secure solid,359
electric switch,secure solid,359
support,secure solid,359
electric motor,transfer electrical,359
electric wire,transfer electrical,359
electric switch,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
gear,transfer mechanical,359
gear,transfer mechanical,359
gear,transfer mechanical,359
electric switch,actuate control,365
electric switch,actuate electrical,365
gear,change mechanical,365
gear,change mechanical,365
electric motor,convert electrical,365
electric motor,convert electrical,365
electric switch,convert human energy,365
hydraulic piston,convert human energy,365
fan,convert mechanical,365
electric wire,couple solid,365
electric wire,couple solid,365
connector,couple solid,365
connector,couple solid,365
electric cord,couple solid,365
housing,couple solid,365
electric wire,couple solid,365
screw,couple solid,365
rivet,couple solid,365
screw,couple solid,365
screw,couple solid,365
screw,couple solid,365
electric motor,couple solid,365
electric switch,couple solid,365
electric switch,couple solid,365
electric motor,distribute mechanical,365
electric cord,export electrical,365
housing,export human material,365
electric switch,export human material,365
blade,export solid,365
housing,guide human material,365
blade,guide solid,365
guiders,guide solid,365
housing,guide solid,365
gear,guide solid,365
gear,guide solid,365
housing,guide solid,365
guiders,guide solid,365
hydraulic piston,guide solid,365
electric motor,guide solid,365
electric cord,import electrical,365
hydraulic piston,import human energy,365
electric switch,import human energy,365
housing,import human material,365
electric switch,import human material,365
guiders,import solid,365
blade,position solid,365
housing,position solid,365
gear,position solid,365
electric cord,position solid,365
housing,position solid,365
guiders,secure solid,365
housing,secure solid,365
fan,secure solid,365
housing,secure solid,365
guiders,secure solid,365
electric motor,secure solid,365
electric switch,secure solid,365
electric switch,secure solid,365
blade,separate solid,365
electric wire,transfer electrical,365
connector,transfer electrical,365
connector,transfer electrical,365
electric cord,transfer electrical,365
electric wire,transfer electrical,365
electric motor,transfer electrical,365
blade,transfer mechanical,365
gear,transfer mechanical,365
gear,transfer mechanical,365
hydraulic piston,transfer mechanical,365
fan,transfer thermal,365
light source,convert electrical,376
screw,couple solid,376
screw,couple solid,376
screw,couple solid,376
screw,couple solid,376
screw,couple solid,376
blade,distribute solid,376
light source,export optical,376
output thermal energy,export thermal,376
shaft,guide acoustic,376
bearing,guide solid,376
blade,guide solid,376
washer,guide solid,376
shaft,guide solid,376
lever,guide solid,376
hinge,guide solid,376
nut-bolt,guide solid,376
nut-bolt,guide solid,376
gear,guide solid,376
guiders,guide solid,376
shaft,guide solid,376
washer,guide solid,376
housing,guide solid,376
washer,guide solid,376
housing,guide solid,376
electric switch,guide solid,376
blade,import human energy,376
lever,import human energy,376
housing,import human energy,376
lever,import human energy,376
housing,import human energy,376
electric switch,import human energy,376
bearing,position solid,376
washer,position solid,376
container,position solid,376
shaft,position solid,376
positioner,position solid,376
hinge,position solid,376
nut-bolt,position solid,376
nut-bolt,position solid,376
gear,position solid,376
housing,position solid,376
shaft,position solid,376
washer,position solid,376
output thermal energy,position solid,376
housing,position solid,376
cover,position solid,376
lever,position solid,376
shaft,position solid,376
housing,position solid,376
washer,position solid,376
light source,position solid,376
gear,regulate mechanical,376
shaft,regulate mechanical,376
blade,secure solid,376
shaft,secure solid,376
hinge,secure solid,376
gear,secure solid,376
housing,secure solid,376
housing,secure solid,376
cover,secure solid,376
lever,secure solid,376
housing,secure solid,376
washer,secure solid,376
spring,secure solid,376
electric switch,secure solid,376
cover,secure solid,376
system,separate electrical,376
system,separate human energy,376
system,separate human material,376
system,separate mechanical,376
blade,separate solid,376
system,separate solid,376
spring,store mechanical,376
container,store solid,376
electric wire,transfer electrical,376
electric wire,transfer electrical,376
electric wire,transfer electrical,376
electric wire,transfer electrical,376
electric wire,transfer electrical,376
electric wire,transfer electrical,376
electric wire,transfer electrical,376
electric wire,transfer electrical,376
electric wire,transfer electrical,376
electric wire,transfer electrical,376
hinge,transfer human energy,376
shaft,transfer human energy,376
washer,transfer human energy,376
shaft,transfer mechanical,376
gear,transfer mechanical,376
shaft,transfer mechanical,376
cover,transfer optical,376
electric switch,actuate electrical,378
electric switch,actuate status,378
gear,change rotational,378
gear,change rotational,378
gear,change rotational,378
gear,change rotational,378
blade,change solid,378
electric motor,convert electrical,378
cover,convert human energy,378
electric switch,convert mechanical,378
extension,convert rotational,378
screw,couple solid,378
screw,couple solid,378
screw,couple solid,378
screw,couple solid,378
screw,couple solid,378
screw,couple solid,378
screw,couple solid,378
support,distribute mechanical,378
support,distribute mechanical,378
support,export mechanical,378
container,export solid,378
support,extract mechanical,378
gear,guide solid,378
gear,guide solid,378
gear,guide solid,378
guiders,guide solid,378
cover,guide solid,378
electric motor,guide solid,378
housing,guide solid,378
shaft,guide solid,378
shaft,guide solid,378
shaft,guide solid,378
support,guide solid,378
electric cord,import electrical,378
cover,import human energy,378
housing,import mechanical,378
housing,import solid,378
housing,position solid,378
housing,position solid,378
extension,position solid,378
stop,position solid,378
housing,position solid,378
cover,position solid,378
housing,position solid,378
shaft,position solid,378
extension,position solid,378
housing,position solid,378
housing,secure solid,378
gear,secure solid,378
cover,secure solid,378
electric motor,secure solid,378
shaft,secure solid,378
housing,secure solid,378
support,stabilize mechanical,378
support,stabilize mechanical,378
spring,store mechanical,378
spring,store mechanical,378
container,store solid,378
housing,store solid,378
electric cord,transfer electrical,378
extension,transfer mechanical,378
shaft,transfer rotational,378
electric switch,actuate control,387
gear,change rotational,387
gear,change rotational,387
gear,change rotational,387
gear,change rotational,387
electric motor,convert electrical,387
blade,couple solid,387
screw,couple solid,387
shaft,couple solid,387
electric wire,couple solid,387
housing,couple solid,387
insert,couple solid,387
housing,couple solid,387
electric motor,couple solid,387
insert,couple solid,387
cover,couple solid,387
housing,couple solid,387
screw,couple solid,387
screw,couple solid,387
electric wire,couple solid,387
housing,distribute mechanical,387
housing,distribute mechanical,387
cushion,distribute mechanical,387
blade,export mechanical,387
shaft,guide solid,387
gear,guide solid,387
gear,guide solid,387
gear,guide solid,387
gear,guide solid,387
housing,guide solid,387
cover,guide solid,387
support,guide solid,387
cover,guide solid,387
battery,import electrical,387
housing,import human material,387
housing,import human material,387
support,position solid,387
gear,position solid,387
gear,position solid,387
housing,position solid,387
housing,position solid,387
guiders,position solid,387
insert,position solid,387
electric motor,position solid,387
housing,position solid,387
cushion,position solid,387
battery,position solid,387
electric switch,regulate electrical,387
support,secure solid,387
support,secure solid,387
shaft,secure solid,387
shaft,secure solid,387
gear,secure solid,387
gear,secure solid,387
gear,secure solid,387
housing,secure solid,387
support,secure solid,387
insert,secure solid,387
insert,secure solid,387
electric switch,secure solid,387
battery,secure solid,387
electric wire,secure solid,387
blade,separate solid,387
guiders,stop solid,387
cover,stop solid,387
battery,store electrical,387
battery,supply electrical,387
support,transfer electrical,387
electric wire,transfer electrical,387
shaft,transfer rotational,387
shaft,transfer rotational,387
electric switch,actuate electrical,389
electric switch,actuate mechanical,389
latch release,convert human energy,389
housing,convert human energy,389
electric switch,convert human energy,389
blade,convert mechanical,389
blade,convert mechanical,389
electric wire,couple solid,389
electric motor,couple solid,389
electric wire,couple solid,389
blade,export acoustic,389
blade,export human material,389
housing,export human material,389
blade,export status,389
blade,export thermal,389
blade,guide human material,389
housing,guide human material,389
spring,guide solid,389
latch release,import human energy,389
housing,import human energy,389
electric switch,import human energy,389
blade,import human material,389
housing,import human material,389
blade,position solid,389
housing,secure solid,389
blade,secure solid,389
housing,secure solid,389
housing,secure solid,389
cam,secure solid,389
housing,secure solid,389
electric motor,secure solid,389
electric switch,secure solid,389
blade,separate human material,389
housing,stop solid-liquid,389
electric wire,transfer electrical,389
electric motor,transfer electrical,389
electric wire,transfer electrical,389
housing,transfer mechanical,389
latch release,transfer mechanical,389
cam,transfer mechanical,389
housing,transfer mechanical,389
spring,transfer mechanical,389
electric switch,actuate electrical,391
electric motor,convert electrical,391
blade,convert mechanical,391
transferor,couple solid,391
screen,couple solid,391
electric wire,couple solid,391
electric wire,couple solid,391
housing,couple solid,391
clamp,couple solid,391
housing,couple solid,391
housing,couple solid,391
electric motor,couple solid,391
nozzle,couple solid,391
screw,couple solid,391
electric switch,couple solid,391
stabilizer,couple solid,391
electric wire,couple solid,391
blade,export pneumatic,391
blade,guide mechanical,391
transferor,import electrical,391
housing,position solid,391
housing,position solid,391
electric motor,position solid,391
nozzle,position solid,391
blade,secure solid,391
housing,secure solid,391
electric motor,secure solid,391
electric wire,transfer electrical,391
electric wire,transfer electrical,391
blade,transfer pneumatic,391
guiders,convert human energy,596
retaining clip,couple solid,596
screw,couple solid,596
screw,couple solid,596
screw,couple solid,596
guiders,export human material,596
guiders,export solid,596
support,export solid,596
shaft,export solid,596
guiders,extract human energy,596
positioner,guide solid,596
support,guide solid,596
housing,guide solid,596
housing,guide solid,596
guiders,guide solid,596
guiders,import human material,596
guiders,import solid,596
support,import solid,596
shaft,import solid,596
guiders,position solid,596
guiders,position solid,596
latch release,position solid,596
latch release,position solid,596
spring,position solid,596
spring,position solid,596
housing,position solid,596
housing,position solid,596
spring,position solid,596
housing,position solid,596
housing,position solid,596
support,position solid,596
screw,position solid,596
screw,position solid,596
shaft,position solid,596
nut-bolt,secure solid,596
housing,secure solid,596
housing,secure solid,596
shaft,secure solid,596
blade,transfer mechanical,596
shaft,transfer mechanical,596
electric switch,actuate control,600
electric switch,actuate electrical,600
gear,change mechanical,600
electric motor,convert electrical,600
electric motor,convert electrical,600
electric switch,convert human energy,600
fan,convert mechanical,600
electric conductor,couple solid,600
glue,couple solid,600
rivet,couple solid,600
screw,couple solid,600
screw,couple solid,600
screw,couple solid,600
screw,couple solid,600
screw,couple solid,600
screw,couple solid,600
solder,couple solid,600
electric cord,export electrical,600
housing,export gas,600
housing,export human material,600
latch release,export human material,600
electric switch,export human material,600
housing,export human material,600
blade,export solid,600
electric motor,export thermal,600
housing,guide human material,600
latch release,guide human material,600
electric switch,guide human material,600
housing,guide human material,600
guiders,guide solid,600
housing,guide solid,600
guiders,guide solid,600
gear,guide solid,600
latch release,guide solid,600
electric switch,guide solid,600
housing,guide solid,600
electric cord,import electrical,600
housing,import gas,600
electric switch,import human energy,600
housing,import human material,600
latch release,import human material,600
electric switch,import human material,600
housing,import human material,600
blade,import solid,600
link,position solid,600
guiders,position solid,600
housing,position solid,600
electric motor,position solid,600
support,position solid,600
unclassified,secure solid,600
electric motor,secure solid,600
link,secure solid,600
blade,separate solid,600
electric motor,transfer electrical,600
electric cord,transfer electrical,600
electric wire,transfer electrical,600
electric wire,transfer electrical,600
electric wire,transfer electrical,600
link,transfer mechanical,600
blade,transfer mechanical,600
gear,transfer mechanical,600
link,transfer mechanical,600
electric switch,actuate control,605
electric switch,actuate electrical,605
gear,change mechanical,605
electric motor,convert electrical,605
latch release,convert human energy,605
electric switch,convert human material,605
electric switch,convert human material,605
hinge,couple solid,605
hinge,couple solid,605
screw,couple solid,605
screw,couple solid,605
screw,couple solid,605
screw,couple solid,605
screw,couple solid,605
screw,couple solid,605
housing,export human energy,605
latch release,export human material,605
electric switch,export human material,605
blade,export solid,605
latch release,export solid,605
handle,export solid,605
latch release,export solid,605
latch release,export solid,605
housing,guide human energy,605
battery,guide solid,605
positioner,guide solid,605
positioner,guide solid,605
guiders,guide solid,605
guiders,guide solid,605
latch release,guide solid,605
housing,guide solid,605
handle,guide solid,605
screw,guide solid,605
latch release,guide solid,605
latch release,guide solid,605
electric motor,guide solid,605
shaft,guide solid,605
cover,guide solid,605
guiders,guide solid,605
spring,guide solid,605
spring,guide solid,605
electric switch,guide solid,605
latch release,import human energy,605
housing,import human energy,605
electric switch,import human material,605
electric switch,import human material,605
blade,import solid,605
latch release,import solid,605
handle,import solid,605
latch release,import solid,605
latch release,import solid,605
cap,position solid,605
stop,position solid,605
screw,position solid,605
housing,position solid,605
shaft,position solid,605
housing,position solid,605
cover,position solid,605
guiders,position solid,605
support,position solid,605
support,position solid,605
housing,position solid,605
shaft,regulate control,605
shaft,regulate mechanical,605
cap,secure solid,605
housing,secure solid,605
support,secure solid,605
gear,secure solid,605
electric switch,secure solid,605
blade,separate solid,605
cover,stop solid,605
battery,store electrical,605
battery,supply electrical,605
stop,transfer control,605
battery,transfer electrical,605
electric wire,transfer electrical,605
electric wire,transfer electrical,605
electric wire,transfer electrical,605
electric wire,transfer electrical,605
electric motor,transfer electrical,605
electric wire,transfer electrical,605
electric wire,transfer electrical,605
electric switch,transfer electrical,605
blade,transfer mechanical,605
gear,transfer mechanical,605
shaft,transfer mechanical,605
gear,change mechanical,606
gear,change mechanical,606
gear,change mechanical,606
gear,change mechanical,606
gear,change mechanical,606
gear,change mechanical,606
electric motor,convert electrical,606
cover,convert human energy,606
electric switch,convert human energy,606
electric switch,convert human energy,606
screw,couple solid,606
support,couple solid,606
screw,couple solid,606
screw,couple solid,606
electric wire,couple solid,606
cover,export human material,606
electric switch,export human material,606
housing,export human material,606
unclassified,export status,606
housing,guide human material,606
positioner,guide solid,606
housing,guide solid,606
cover,guide solid,606
housing,guide solid,606
cover,guide solid,606
cover,guide solid,606
gear,guide solid,606
electric motor,guide solid,606
gear,guide solid,606
gear,guide solid,606
gear,guide solid,606
housing,guide solid,606
spring,guide solid,606
housing,guide solid,606
washer,guide solid,606
cover,import human energy,606
electric switch,import human energy,606
electric switch,import human energy,606
cover,import human material,606
electric switch,import human material,606
housing,import human material,606
electric switch,import human material,606
cap,position solid,606
positioner,position solid,606
guiders,position solid,606
housing,position solid,606
support,position solid,606
cover,position solid,606
gear,position solid,606
housing,position solid,606
cover,position solid,606
cover,position solid,606
electric switch,position solid,606
housing,position solid,606
gear,regulate control,606
gear,regulate control,606
electric switch,regulate control,606
electric switch,regulate electrical,606
gear,regulate mechanical,606
gear,regulate mechanical,606
cap,secure solid,606
clamp,secure solid,606
housing,secure solid,606
housing,secure solid,606
electric switch,secure solid,606
battery,store electrical,606
battery,supply electrical,606
positioner,transfer control,606
guiders,transfer control,606
support,transfer control,606
link,transfer control,606
