electric switch,actuate electrical
gear,change mechanical
electric motor,convert electrical
unclassified,convert human energy
electric switch,convert human material
screw,couple solid
screw,couple solid
screw,couple solid
screw,couple solid
screw,couple solid
electric wire,couple solid
unclassified,export human energy
housing,export human energy
electric switch,export human material
blade,export solid
housing,guide human energy
gear,guide mechanical
cap,guide solid
gear,guide solid
electric motor,guide solid
housing,guide solid
guiders,guide solid
unclassified,guide solid
guiders,guide solid
housing,guide solid
spring,guide solid
washer,guide solid
unclassified,import human energy
housing,import human energy
electric switch,import human material
blade,import solid
unclassified,import solid
cam,position solid
guiders,position solid
housing,position solid
housing,position solid
housing,position solid
latch release,position solid
housing,position solid
washer,position solid
electric switch,regulate control
electric switch,regulate electrical
cap,secure solid
housing,secure solid
electric switch,secure solid
blade,separate solid
battery,store electrical
battery,supply electrical
battery,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric motor,transfer electrical
electric wire,transfer electrical
electric switch,transfer electrical
electric wire,transfer electrical
blade,transfer mechanical
cam,transfer mechanical
gear,transfer mechanical